Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01001802,Hackney 003B,14.6,34.2,83.9,49.7,24.4,10.0,9.2,30119
E01001804,Hackney 003C,10.1,27.4,82.3,28.2,39,9.4,6.7,37894
E01001807,Hackney 003D,12.4,39,81.4,41.6,33.2,12.5,11.8,32042
E01001812,Hackney 003E,11.2,30.9,85.3,45.3,30.3,10.7,10.9,31591
E01001725,Hackney 004A,12.4,38.5,79.8,32.1,39.4,11.2,11.2,36415
E01001726,Hackney 004B,24.4,58.7,74.4,54.7,24.8,13.2,14.0,25802
E01001800,Hackney 004C,15.4,40.3,77.6,60.2,26.3,12.8,11.2,26799
E01001824,Hackney 004D,17.6,43.1,75.7,50.3,25.2,9.9,14.5,27054
E01001826,Hackney 004E,15.6,38.7,76.8,39.1,35,11.6,10.7,28359
E01001723,Hackney 006A,8.3,40.7,82.3,19.5,44.3,7.9,7.3,41002
E01001724,Hackney 006B,7.7,36.4,79,17.3,46,7.4,6.1,35605
E01001727,Hackney 006C,8.2,37.2,87.6,23.7,40.5,9.4,6.0,41946
E01001768,Hackney 006D,12.7,43.2,86.5,24.9,36.3,8.2,7.4,39934
E01001769,Hackney 006E,11.8,46.3,86,38.2,31.1,8.7,10.0,38627
E01001715,Hackney 007A,5.8,29.5,79.8,16.6,55.3,4.6,5.9,44118
E01001716,Hackney 007B,9.8,43.3,77.1,34.1,37.6,7.3,6.8,29877
E01001717,Hackney 007C,14.5,41.1,84.5,35.8,23,10.0,7.4,40448
E01001718,Hackney 007D,3.6,24.7,82.4,5.3,55.6,4.6,3.4,51575
E01001719,Hackney 007E,15.3,48,77.9,58.7,21.7,9.6,7.5,28548
E01001720,Hackney 007F,5.9,24.5,88.8,12.6,50.1,8.1,3.9,50911
E01001742,Hackney 008A,18,44.4,88.2,46.3,18.8,11.8,6.4,35330
E01001801,Hackney 008B,10.9,28,87.1,48.1,21.3,9.0,8.7,33056
E01001803,Hackney 008C,10.7,24.3,85.8,18.6,36,9.1,5.5,47091
E01001806,Hackney 008D,16.7,36.2,88.1,46.6,21.8,9.7,8.5,36785
E01001741,Hackney 009A,8.8,27.3,92,18.4,25.9,7.2,3.5,54378
E01001805,Hackney 009B,7.8,30.8,82.4,22.4,45.1,8.4,6.9,42572
E01001829,Hackney 009C,8,22.7,92.7,11.4,28.6,6.9,5.3,57683
E01001831,Hackney 009D,9.1,37,82.8,28.1,42.6,7.5,5.4,39216
