Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01000717,Bromley 011D,7.9,13.1,95.6,5.7,28.2,14.2,4.1,40426
E01000828,Bromley 011E,8.1,16.8,96.6,13.3,15,15.0,4.1,43401
E01000712,Bromley 012A,6.4,18,93.7,2.4,29.1,14.1,2.6,46771
E01000713,Bromley 012B,7.5,17.1,94.2,4.3,26.7,12.4,4.0,45457
E01000715,Bromley 012C,4.5,13,95.5,5.3,21.8,13.8,4.1,44675
E01000770,Bromley 012D,3.2,10.1,95.5,0.9,19.2,15.8,3.5,53015
E01000772,Bromley 012E,4.9,12.4,97.1,4.2,13.4,15.6,2.4,48968
E01000700,Bromley 013A,14.7,17.6,96.4,17.6,12,12.2,4.7,35099
E01000702,Bromley 013B,9.6,18.8,96.2,8,18.7,14.8,5.2,38996
E01000703,Bromley 013C,10.8,14.1,95.2,9.7,26.8,14.0,4.5,43854
E01000706,Bromley 013D,11,19.2,96.6,17.6,13.4,15.6,4.7,32942
E01000797,Bromley 013E,7.4,15.3,97.2,14,13.4,13.5,4.6,44842
E01000729,Bromley 014A,18.7,16.8,95.9,59.8,5.1,16.6,13.1,21600
E01000730,Bromley 014B,28,16.1,96.3,54.7,6.9,17.3,10.2,23194
E01000735,Bromley 014C,16.2,13.3,95.6,36.7,6.8,16.4,9.4,26466
E01000738,Bromley 014D,13,14.4,97,15,8.5,17.4,5.4,30162
E01000739,Bromley 014E,20.8,17.3,95.3,53,5,18.4,8.6,23775
E01000699,Bromley 015A,15.1,34.3,91.5,21,26.4,16.8,9.7,30523
E01000701,Bromley 015B,10.7,25,95.7,8.5,17.4,14.5,6.3,36919
E01000704,Bromley 015C,10.8,25,97,5.1,13.3,16.5,5.6,34098
E01000705,Bromley 015D,13.6,37.7,94.3,18.8,18.4,15.4,7.7,33776
E01000801,Bromley 015E,15.4,30.1,93.8,19.7,18,15.0,7.5,30929
E01000646,Bromley 016A,8.2,16.1,95.2,4.8,25.7,14.3,3.6,42706
E01000647,Bromley 016B,12.4,12.6,97.2,4.9,14,16.5,4.1,40320
E01000648,Bromley 016C,9.9,15.2,95.7,3.3,14.6,13.7,4.0,44895
E01000653,Bromley 016D,6.9,13.6,96.7,10.4,6.9,14.3,4.2,52410
E01000678,Bromley 016E,9.6,16.3,97.1,6.8,17.3,16.8,4.6,43118
E01000670,Bromley 018A,9.6,23,93.2,9.7,28.2,13.8,5.0,50462
E01000675,Bromley 018B,8.4,22.7,92.8,3.6,31.7,16.7,4.5,43611
E01000677,Bromley 018C,11.8,17.6,92.9,4,28.6,15.1,5.9,38614
E01000762,Bromley 018D,7.5,16.5,96.9,2.2,16,17.6,5.8,41621
E01000829,Bromley 018E,8.4,17.8,93.6,6,21.5,15.2,4.1,43729
E01000719,Bromley 019A,17.6,18,96.5,24.9,12.8,16.5,7.6,27124
E01000720,Bromley 019B,20.4,20,93,32.8,13.5,16.7,10.2,24703
E01000721,Bromley 019C,24.8,21.9,96.6,57.4,6.3,14.3,13.3,22367
E01000724,Bromley 019D,25.7,23,95.7,56.5,4.7,16.0,12.9,23817
E01000728,Bromley 019E,15.4,13.6,96.7,17.5,11.3,14.4,5.4,29148
E01000651,Bromley 020A,5.9,10.6,97.3,11.3,10,15.7,3.8,46179
E01000668,Bromley 020B,11.1,13.9,97,8,20.4,16.0,3.9,35841
E01000669,Bromley 020C,11.9,10.2,98.5,6.1,15.9,15.0,5.7,35593
E01000671,Bromley 020D,7.8,17.3,93.4,12.4,20.3,15.8,4.5,35075
E01000679,Bromley 020E,13.3,13.3,96.7,2.9,14,16.4,4.2,38839
E01000826,Bromley 021A,3.7,12.1,97.3,0,3.7,19.6,2.8,61658
E01000827,Bromley 021B,5.8,18.4,94.3,4.6,18,13.1,5.1,43044
E01000830,Bromley 021C,6.1,14.7,97.1,0.4,2.4,15.9,3.0,60034
E01000831,Bromley 021D,5.7,13.7,95.9,9.8,15,14.9,4.3,46772
E01000833,Bromley 021E,9.5,11.9,98.4,0.6,3.6,21.0,4.1,54779
E01000650,Bromley 022A,7.7,17.8,96.5,16.9,7.2,14.5,4.2,53936
E01000652,Bromley 022B,8,10.3,97.4,3,5.5,17.9,2.6,44938
E01000807,Bromley 022C,10.1,9.7,96.6,2.9,15,17.6,4.2,49453
E01000809,Bromley 022D,6.8,6,98.7,1.4,4.1,16.5,4.5,45185
E01000722,Bromley 023A,13.5,11.8,97,12.4,15.8,15.2,6.5,29493
E01000725,Bromley 023B,15.4,10,96.5,30.1,15.7,16.0,8.1,28120
E01000731,Bromley 023C,23.3,15.8,98.1,26.5,5.5,14.9,8.0,27896
E01000732,Bromley 023D,11.2,11.9,97.1,14.1,4.3,15.6,5.6,34642
E01000733,Bromley 023E,14.4,10.7,96.9,21,5.5,16.9,6.9,30282
E01000769,Bromley 024A,13.7,16.1,98.9,15.2,4.4,18.4,3.5,42214
E01000773,Bromley 024B,10.2,12.3,97.4,14.7,6.6,15.7,3.6,42190
E01000775,Bromley 024C,9.7,19.3,97.1,4.4,12.1,17.1,3.4,51126
E01000777,Bromley 024D,11.3,15.6,97,1.4,9.6,17.7,4.3,41696
E01000778,Bromley 024E,11.3,17.3,96.9,13.4,5.7,17.8,5.0,33899
E01000808,Bromley 025A,7.2,10.2,97.1,5.8,4,16.6,3.5,50388
E01000810,Bromley 025B,6.3,7.9,97.7,0.2,4.3,16.5,3.7,55341
E01000811,Bromley 025C,8.6,8.6,96.5,0.9,14.7,18.0,3.4,43347
E01000813,Bromley 025D,6.4,9.9,97.8,0.8,4.2,16.9,4.2,43354
E01000815,Bromley 025E,5.2,7.8,99.1,0.4,2.3,17.9,2.1,59459
E01000661,Bromley 026A,30.4,20.8,95.1,56.8,7.3,16.9,11.3,25077
E01000662,Bromley 026B,14.9,16.8,95.3,18.8,5.7,16.8,7.7,32418
E01000663,Bromley 026C,14.7,13,95.9,27.9,3.9,16.0,6.0,31599
E01000664,Bromley 026D,16,13.4,97.2,20.9,4.6,16.0,7.5,31723
E01000763,Bromley 027A,7.8,8.1,99.4,0.6,3.4,19.9,3.3,46231
E01000764,Bromley 027B,13.9,10.8,97.9,13.3,3.5,16.8,3.7,35952
E01000766,Bromley 027C,6.8,7.2,98.8,0.5,1.7,19.0,2.8,50605
E01000767,Bromley 027D,7.4,7.4,99.2,0.5,4.2,19.0,3.4,48234
E01000834,Bromley 027E,10.8,9.2,98.9,1.1,4.8,19.4,2.5,49270
E01000727,Bromley 028A,9,9.3,97.4,11.4,11.2,16.6,6.0,33837
E01000734,Bromley 028B,16.4,12.1,97.8,10.5,10.1,18.3,4.4,35879
E01000790,Bromley 028C,10,19.3,95,10.9,25.8,14.7,5.4,36990
E01000812,Bromley 028D,9.2,11.3,98,10.7,10.4,15.2,3.9,41562
E01000814,Bromley 028E,4.3,11.1,98,0,3.2,19.1,2.4,59806
E01000723,Bromley 029A,8.7,4.8,98.6,2.1,4.3,14.9,5.9,32237
E01000726,Bromley 029B,9.2,9.8,98.1,2.5,12.2,16.2,3.1,34353
E01000787,Bromley 029C,11.1,8.8,98.7,14.8,7.8,16.3,7.7,29962
E01000788,Bromley 029D,11.8,17.4,95.8,14.4,7.3,14.0,6.3,32525
E01000791,Bromley 029E,8.7,9.8,97.6,7.6,4.7,17.2,5.0,34606
E01000832,Bromley 030A,5.9,14.4,97.9,0.7,6.8,18.7,3.7,45511
E01000835,Bromley 030B,15.4,10.8,96.1,3.1,21.8,18.6,3.9,41625
E01000836,Bromley 030C,11.8,10.9,98.8,0.8,4,17.6,3.1,48227
E01000837,Bromley 030D,9.3,14.7,97.7,7.7,9.7,17.2,4.4,38933
E01000838,Bromley 030E,7.1,9.7,98.9,1.5,5.1,18.3,2.7,44514
E01000839,Bromley 030F,6.9,8.9,98.5,0.7,6.4,19.2,3.5,51833
E01000840,Bromley 030G,4.2,6.6,98.8,21,1.8,17.0,3.0,44158
E01000841,Bromley 030H,7.8,9,98.2,1.3,6.9,19.1,3.3,46146
E01000753,Bromley 031A,6.5,6.5,98.7,0.8,6.4,17.3,3.9,49094
E01000754,Bromley 031B,11.3,10.5,97.4,1.6,11.2,17.9,4.6,38259
E01000755,Bromley 031C,7.5,8.2,97.7,1.1,6.2,20.0,2.9,45887
E01000757,Bromley 031D,5,5.4,98.5,0.5,2.3,17.9,2.7,51084
E01000758,Bromley 031E,7.8,9.5,98.3,6.1,4.4,19.4,2.9,48385
E01000786,Bromley 032A,7.2,6.8,98.7,4.3,3.2,16.9,4.6,39750
E01000789,Bromley 032B,29.8,20.4,93.6,68.2,6.2,18.0,14.2,22190
E01000792,Bromley 032C,14.5,17.2,96.1,12.6,6.4,15.3,6.4,32969
E01000793,Bromley 032D,5.6,7,99.5,1.6,3.6,17.7,3.1,47920
E01000795,Bromley 032E,10.5,9,95.8,21.4,4.1,17.9,5.0,34709
E01000665,Bromley 033A,11.2,11.6,97.5,5.5,12.3,18.5,4.5,35447
E01000666,Bromley 033B,6.6,5.7,99,0.6,9.4,18.0,4.0,52319
E01000667,Bromley 033C,6.4,10.6,99.2,1.1,3.2,18.5,3.5,55308
E01000756,Bromley 033D,6.7,11.5,98.1,2,6.1,20.4,2.3,53526
E01000759,Bromley 034A,5.8,5.3,99.6,1.1,4.7,18.6,3.6,45306
E01000760,Bromley 034B,8.9,6.5,98.9,2.5,11.5,18.1,3.8,39499
E01000761,Bromley 034C,7.3,7.1,98.6,0.3,4.2,21.1,4.7,41897
E01000765,Bromley 034D,9.3,6.5,99.3,2.8,13.8,18.8,4.0,44276
E01000768,Bromley 034E,8,6.9,98,6.4,11.7,16.3,4.3,45664
E01000681,Bromley 035A,7.2,9.5,97.4,0.5,3.7,18.1,3.2,44382
E01000682,Bromley 035B,8.3,7.7,98.4,0.3,5.6,17.7,3.2,41666
E01000683,Bromley 035C,10.8,16.1,96.5,7.5,11.3,15.4,4.2,36774
E01000684,Bromley 035D,7.4,16.3,96.6,1.2,6.9,17.0,3.4,49859
E01000794,Bromley 035E,5.6,7.4,98.5,1.5,3.3,16.9,3.9,45362
E01000749,Bromley 036A,6.4,4.1,99.2,7.4,5.6,16.5,2.2,39389
E01000750,Bromley 036B,17.4,8.8,97.6,53.8,3.2,17.1,7.3,28697
E01000751,Bromley 036C,9.4,17.7,94.4,6.3,9.9,18.0,4.0,40887
E01000752,Bromley 036D,9.4,5,98.7,7.3,8.6,16.2,4.9,36062
E01000680,Bromley 037A,6.2,5,99.1,2.5,8.5,17.0,2.9,49828
E01000685,Bromley 037B,10.2,7.6,99,13.4,7.9,15.8,5.1,35261
E01000686,Bromley 037C,7.7,8.1,98.3,12,5.2,16.7,2.7,42652
E01000687,Bromley 037D,10.1,6.6,98.9,2,9.5,17.5,4.1,43280
E01000688,Bromley 037E,5.8,8.6,98.2,2.6,4.6,19.2,3.0,52491
E01000654,Bromley 039A,10.1,4.8,99.8,1,5.3,19.6,4.6,35600
E01000655,Bromley 039B,12.6,4.5,99,3.6,5.9,20.9,4.4,35504
E01000656,Bromley 039C,6.6,6.1,99.6,1.2,3.1,17.7,3.9,40098
E01000657,Bromley 039D,12.9,5,98.5,13.8,8.5,19.2,4.3,33257
E01000659,Bromley 039E,10.6,3.1,99,1.5,4.4,19.6,3.7,36287
E01000816,Bromley 040A,12.7,26.3,93.2,7.4,7.8,16.5,5.6,34008
E01000818,Bromley 040B,9.3,19.1,96.1,5.8,4.9,16.7,3.6,39633
E01000819,Bromley 040C,19.9,25.1,95,37.4,10.7,16.3,10.6,28065
E01032562,Bromley 040D,26.5,26.5,94.4,42.9,7.5,16.1,8.7,24086
E01032563,Bromley 040E,5.8,18.5,96.3,2.1,8.3,15.4,4.7,45957
E01000707,Bromley 041A,6.2,8.9,97.8,1.7,9,13.2,3.4,51946
E01000708,Bromley 041B,9.8,14,96,7.1,12.9,14.5,4.2,39298
E01000771,Bromley 041C,8.1,18.2,98.4,1.9,7.6,13.9,4.4,47799
E01000774,Bromley 041D,11,17.4,94.7,3.6,10.7,16.5,4.6,41045
E01032568,Bromley 041E,17.9,18.8,96.8,29.8,12.4,15.3,7.3,29041
E01000658,Bromley 042A,7.1,1.8,99.8,2.4,4,17.4,4.4,36044
E01000747,Bromley 042B,8.7,6,99.5,7.1,15.3,18.4,4.4,39254
E01000748,Bromley 042C,6.6,4.1,99.9,1.8,6.1,17.2,3.8,42159
E01032570,Bromley 042D,10.9,3.6,99.6,5.5,7.6,18.2,4.5,35864
E01001137,Croydon 001A,13.5,37.6,89.9,16.5,25.6,11.5,8.4,33034
E01001138,Croydon 001B,13.3,34.8,93.4,18.7,24,12.6,6.6,37069
E01001156,Croydon 001C,18.7,44.4,91.1,34.4,16.8,13.2,9.7,29425
E01001162,Croydon 001D,23.5,47,90.9,33.9,20.1,13.5,10.2,28857
E01001164,Croydon 001E,13.3,34.2,89.2,21.3,39.5,11.1,7.5,33432
E01001084,Croydon 002A,10.2,48.6,89.8,3.6,15.2,13.4,5.3,43502
E01001157,Croydon 002B,12.8,58.1,88.9,13,14.5,14.9,5.4,34670
E01001159,Croydon 002C,12.7,48.7,89.2,9,22.9,14.8,7.1,34172
E01001160,Croydon 002D,12.1,68.8,85.3,3.2,15.3,15.1,7.7,35798
E01001163,Croydon 002E,13.2,45.5,89.3,9.1,20.4,14.0,6.3,33243
E01001083,Croydon 003A,9.7,60,90.1,1.9,10.6,14.4,6.9,38668
E01001086,Croydon 003B,17.1,65.3,88.4,4.6,16.3,14.0,7.0,33188
E01001087,Croydon 003C,13.7,65.6,80.5,17,36.9,10.8,9.8,28723
E01001161,Croydon 003D,28.4,65.9,86.4,46.6,12.7,15.0,12.8,23584
E01001085,Croydon 004A,12.3,67.1,79.9,14.9,26,11.0,6.5,29198
E01001088,Croydon 004B,19.9,67.2,86.8,18.4,15.4,14.6,7.1,29642
E01001089,Croydon 004C,20.4,62.3,76.6,26.3,28.8,14.7,9.8,25923
E01001090,Croydon 004D,22.8,63.8,84.7,25.1,30.7,12.8,7.2,26868
E01001091,Croydon 004E,11.2,60.4,85.6,2.1,21.4,12.2,7.8,39884
E01001147,Croydon 005A,26.6,67.1,86.3,27.4,25.5,15.2,11.7,24423
E01001148,Croydon 005B,19.9,64.2,93.3,12,22.1,15.4,9.9,28647
E01001151,Croydon 005C,21.6,62.1,84.8,34.9,22.4,15.6,11.8,24517
E01001152,Croydon 005D,22.1,70.7,82.9,16.5,38.1,14.4,9.3,25572
E01001158,Croydon 005E,20,48.5,91.4,17.4,25.4,15.8,8.3,28849
E01001146,Croydon 006A,21.6,70.9,91.4,10.4,20.4,15.9,9.3,28474
E01001149,Croydon 006B,23.7,60.7,90,7.9,20.8,16.4,9.9,30141
E01001150,Croydon 006C,19.4,59.8,92.7,5.2,19.8,15.6,8.2,33288
E01001153,Croydon 006D,19.6,73.1,87.8,11.8,19.8,15.8,8.6,28696
E01001154,Croydon 006E,25.3,68.2,86.1,18.6,28.2,16.2,11.6,25685
E01001136,Croydon 007A,16.3,57.3,85.8,13.5,48.4,14.7,12.1,24536
E01001139,Croydon 007B,15.4,55.1,92.8,4.6,26.4,14.0,8.4,29966
E01001140,Croydon 007C,16.2,44.7,91.5,9.4,25.7,13.1,8.4,29817
E01001142,Croydon 007D,16.3,52.1,92.7,8.9,18.2,16.1,7.5,34887
E01001144,Croydon 007E,20.8,60.9,89.8,23.6,35.6,17.0,13.9,24880
E01001141,Croydon 008A,20.4,57.8,90.1,32.2,27.3,15.4,7.6,26732
E01001143,Croydon 008B,21.2,58.8,89.6,30.5,23.2,16.0,13.0,26523
E01001145,Croydon 008C,23.5,63.3,85.1,46.8,28.8,17.5,12.6,21435
E01001191,Croydon 008D,18.6,63.2,87.4,13.5,45.1,14.2,11.3,24730
E01001192,Croydon 008E,23,57.1,93.4,23.9,28.6,17.0,13.6,26275
E01000994,Croydon 009A,17.2,70.7,84.5,4.7,22.4,18.3,9.3,28354
E01000995,Croydon 009B,14.9,77.1,76.7,4.9,33.7,12.6,10.0,25948
E01000996,Croydon 009C,16.7,75.8,84.7,1.4,21.9,15.6,6.7,30374
E01000997,Croydon 009D,15.7,73.3,84.3,6.8,24.2,14.7,10.0,28007
E01000999,Croydon 009E,15.1,79.2,83.3,5,19,14.2,7.1,27742
E01001002,Croydon 009F,19.5,75.3,85.9,9.8,26.5,13.0,7.5,28127
E01000998,Croydon 010A,19.7,71.8,83.6,17.2,37.7,14.4,9.8,26758
E01001000,Croydon 010B,16.5,75.6,81.9,6.8,35.5,14.1,9.6,28296
E01001003,Croydon 010C,17.9,68.4,86.3,21.5,28.1,13.8,7.1,26701
E01001111,Croydon 010D,21.1,65.5,90.2,11.8,23.4,15.4,8.7,27802
E01001155,Croydon 010E,17.5,74.2,83.7,45.3,22.1,12.7,11.7,22497
E01001174,Croydon 011A,17.6,79.4,80.5,7.6,21.6,14.1,8.3,28310
E01001175,Croydon 011B,20.7,75.7,81.2,8.2,27.9,15.2,11.6,26734
E01001176,Croydon 011C,21.3,83,79.6,15.3,24.2,14.3,8.4,27133
E01001182,Croydon 011D,14.9,74.7,82,2.4,29.4,11.7,7.1,29150
E01001183,Croydon 011E,16.5,84.9,77.8,10.7,33.3,12.9,9.2,26173
E01001184,Croydon 011F,17.1,79,86.8,3.7,18.4,16.8,6.7,30322
E01001001,Croydon 013A,19.9,70.6,87.4,18.5,26.4,15.7,12.4,25347
E01001109,Croydon 013B,21.9,56.6,84.9,32.1,27.1,13.0,9.2,24299
E01001112,Croydon 013C,26.5,62.5,88.9,33.3,26.5,17.5,12.2,25526
E01001113,Croydon 013D,21,63.1,89.6,15.1,37.6,14.2,10.3,26128
E01001114,Croydon 013E,30.4,67.8,86.2,41.2,23.2,15.5,13.8,23885
E01001116,Croydon 013F,19.9,65.3,86.4,13.6,26.5,14.9,9.2,26358
E01000992,Croydon 014A,20.7,50,90.3,42.7,10.2,15.1,10.1,26730
E01001185,Croydon 014B,17,41.4,92.5,7.9,29.1,14.6,8.0,29000
E01001186,Croydon 014C,19.1,56.9,93.1,22.1,28.5,16.6,12.7,26469
E01001188,Croydon 014D,23.5,58.8,93.1,21.2,23.8,16.4,11.5,26505
E01001193,Croydon 014E,36.5,62.3,94,51.6,6,19.6,10.1,26028
E01001004,Croydon 015A,23.9,71.8,85.3,23.1,28.3,15.5,8.5,26103
E01001115,Croydon 015B,21.6,70.6,83.1,42.3,16.1,12.9,12.1,23053
E01001117,Croydon 015C,18.4,73.1,76.5,19.8,36.9,12.4,7.8,26061
E01001178,Croydon 015D,24.2,70.3,76.6,28.3,39.8,15.7,16.4,20353
E01001181,Croydon 015E,26.7,71.8,80.6,38.2,25.6,15.1,8.4,23292
E01001006,Croydon 016A,24.4,62.8,80.8,28.6,22.6,16.5,8.3,26369
E01001007,Croydon 016B,15.5,76,71.9,11.7,21.7,16.8,9.3,26675
E01001177,Croydon 016C,23,73.7,80,33.6,17.4,16.1,8.3,25279
E01001179,Croydon 016D,17.3,73.9,81.2,5.6,26.2,13.2,6.7,28386
E01001180,Croydon 016E,23.5,73.8,76.8,6.9,33.5,14.3,10.8,25531
E01000980,Croydon 017A,16.3,46.1,93.8,13.8,17.5,15.4,7.2,31995
E01000981,Croydon 017B,15.1,40.4,93,8.2,14.4,15.3,6.2,34586
E01000982,Croydon 017C,17,39.7,90.9,10.5,25.4,13.5,7.5,30012
E01000983,Croydon 017D,11.1,36.6,92,4.8,20.8,16.4,6.2,36636
E01001187,Croydon 017E,18.5,50.6,88.8,17.6,23,17.3,9.1,27656
E01000989,Croydon 018A,13.7,30.1,95.2,3.7,9.1,18.4,3.1,40012
E01000991,Croydon 018B,8.3,26.1,97.3,2.1,5.7,16.9,4.7,43536
E01001131,Croydon 018C,14.7,20.7,96.1,14.9,9.3,21.6,5.7,32863
E01001132,Croydon 018D,8.2,22.7,97.9,4,6.3,16.5,5.6,41723
E01001134,Croydon 018E,9.5,26.6,95,5.3,11.3,15.7,5.4,39226
E01001005,Croydon 019A,16,77.7,71.3,6.2,35.6,12.9,9.2,25667
E01001008,Croydon 019B,25.7,63.6,82.2,34.6,18.6,14.1,10.2,24104
E01001009,Croydon 019C,17.1,79.3,77.7,17.9,27.4,12.4,6.9,26890
E01001010,Croydon 019D,28.8,52,86.5,44,11.9,17.6,10.1,22200
E01001011,Croydon 019E,17.9,75.1,75.6,23.2,35.2,13.3,9.3,24395
E01001012,Croydon 020A,15.3,74.2,78.6,16.2,51.9,11.9,12.4,22821
E01001013,Croydon 020B,22.1,66.2,77.4,48.8,28.3,15.4,13.9,20253
E01001048,Croydon 020C,15.9,63.2,81.3,15.8,52.6,10.6,8.8,29107
E01001110,Croydon 020D,19.1,64.2,85.1,24.6,42.5,14.7,9.6,25794
E01001118,Croydon 020E,26.7,65.6,85,37.9,23.6,14.3,11.9,23110
E01000985,Croydon 021A,8.5,29.5,95,4.9,5.8,17.9,5.4,41014
E01000986,Croydon 021B,10.3,36.9,91.1,7.7,16.2,13.6,4.5,42025
E01000987,Croydon 021C,9.4,30.8,95.9,1,7.2,16.0,4.5,40717
E01000993,Croydon 021D,15.1,33,93,7.6,16.7,16.4,5.5,35169
E01000975,Croydon 022A,11.4,44.9,85.5,7,40.8,12.1,5.4,34475
E01000976,Croydon 022B,13.7,48.4,84.5,14.2,40.7,11.4,7.6,27677
E01000977,Croydon 022C,9.9,46,85.1,24.9,34.7,11.2,10.5,28282
E01000978,Croydon 022D,9.1,42.5,86.6,10.9,47.8,11.9,7.7,31766
E01000979,Croydon 022E,7.5,42.5,87,7.3,40.3,11.3,4.9,36900
E01000984,Croydon 022F,13.3,48.4,86.4,29.8,29.6,13.8,8.1,28278
E01001044,Croydon 023A,6.4,44.2,86,3.8,31.6,11.5,6.4,49051
E01001046,Croydon 023B,4.9,59.5,82,0.8,46.2,8.3,5.0,49288
E01001049,Croydon 023C,8.7,50.8,93.9,1.8,12.5,9.5,4.8,58743
E01001050,Croydon 023D,8.9,49.3,83.7,37.5,29.1,9.5,6.7,35427
E01001014,Croydon 024A,22.4,59.1,81.5,32.5,24.5,13.1,8.2,26179
E01001042,Croydon 024B,17.1,44.3,85.3,24.8,38.5,13.2,9.0,27231
E01001165,Croydon 024C,12,43.7,86.4,8.6,26.6,13.9,6.6,30211
E01001166,Croydon 024D,19,43.7,86.9,29.6,31,13.9,8.9,25104
E01001168,Croydon 024E,10.5,41.5,91.2,7.6,24.7,13.9,5.5,33059
E01001127,Croydon 025A,6.8,23.5,96.7,7.1,3.3,16.9,4.9,44406
E01001128,Croydon 025B,29.5,45.4,88.7,54.8,5.1,17.4,10.9,24961
E01001130,Croydon 025C,43.8,61.4,82.6,76.6,6.4,20.4,15.4,21596
E01001135,Croydon 025D,8.1,27.8,95.1,2.7,8.4,17.6,4.3,43341
E01001062,Croydon 026A,7,30.1,95.6,3,8.1,15.5,2.9,48914
E01001063,Croydon 026B,8.5,26.3,94.9,1.9,11.8,16.1,4.8,44865
E01001064,Croydon 026C,7,28.8,97.7,2.1,6.7,15.8,4.4,48583
E01001129,Croydon 026D,5.6,20.3,98.4,0.8,2.6,19.9,3.2,49012
E01001133,Croydon 026E,5,24.4,96.6,5.4,4.8,15.8,5.4,37953
E01001035,Croydon 027A,8.3,38.1,91.1,7.6,46.2,14.9,7.2,36055
E01001043,Croydon 027B,15.5,49.8,80.4,20.5,45.3,12.2,7.6,28185
E01001045,Croydon 027C,9.5,41.5,82.6,16.7,47.5,10.2,9.6,31941
E01001047,Croydon 027D,9.2,34.8,87.2,11.6,46.4,13.0,5.8,30532
E01001170,Croydon 027E,17.7,41.1,89.8,18.9,39,15.4,5.7,29112
E01001167,Croydon 028A,15.8,48.6,88.3,13.6,17.7,14.1,8.0,30489
E01001169,Croydon 028B,22.4,45.1,91.1,46.5,7.1,15.2,8.3,24800
E01001171,Croydon 028C,23.1,47.5,88.7,36.6,18.5,13.9,6.8,28377
E01001172,Croydon 028D,26,43.9,88.1,57.1,6.8,13.9,10.5,22941
E01001173,Croydon 028E,17.9,45.5,89.3,22.7,23,14.8,6.3,30980
E01001036,Croydon 029A,4.1,31.6,93,3.7,19.9,12.3,5.1,53569
E01001037,Croydon 029B,17.3,35.6,92.3,20.7,26.1,15.0,7.4,30150
E01001038,Croydon 029C,8,34.6,91.6,11.6,40.9,13.7,5.7,33985
E01001039,Croydon 029D,6.5,23.5,95.9,3.4,11.5,13.1,4.3,51617
E01001040,Croydon 029E,13.9,28.6,91.9,8.1,29.9,13.1,6.5,33444
E01001051,Croydon 030A,27.4,36.1,92.6,67.3,4.6,17.6,11.6,21910
E01001052,Croydon 030B,36,38.1,93.8,60,4.9,17.6,14.0,21741
E01001054,Croydon 030C,25.3,31.9,93.8,44.8,6.6,15.7,11.7,21973
E01001056,Croydon 030D,39.3,39.1,88.9,73.2,4.2,18.0,16.2,20090
E01001057,Croydon 030E,47.1,45.9,90,84.9,3.3,16.9,18.3,18572
E01001033,Croydon 031A,11.2,35.1,91.9,7.6,25.4,15.4,7.7,37432
E01001034,Croydon 031B,9.5,28.3,91.5,4.2,29.1,17.7,5.4,37951
E01001041,Croydon 031C,14,36.5,89.9,12.6,39.8,14.5,8.1,29856
E01001095,Croydon 031D,13.5,33.9,91.1,5.8,27.2,15.6,5.6,34090
E01001100,Croydon 031E,7.4,23.8,96,5.8,17.4,15.1,3.2,42362
E01001053,Croydon 032A,21.6,22.8,96,38.1,3.4,15.5,8.2,23954
E01001055,Croydon 032B,21.9,24.5,95.7,51.5,6.5,15.4,11.4,21286
E01001077,Croydon 032C,14.3,16.5,95.2,10.3,7.1,15.1,6.0,27732
E01001078,Croydon 032D,27.7,25,94,43.7,6,15.3,10.3,23862
E01001082,Croydon 032E,28.4,22.5,97.1,41.4,5,15.6,10.2,23180
E01001120,Croydon 033A,10,22.2,97.3,0.6,6.7,17.6,3.6,37851
E01001122,Croydon 033B,7.1,30.3,93.7,1.2,8.1,16.3,3.9,51335
E01001123,Croydon 033C,7,20.4,98,1.2,4,16.6,3.9,47045
E01001124,Croydon 033D,5.4,15.4,98.7,0.7,3.1,17.2,3.8,53237
E01001125,Croydon 033E,9.6,26.8,95.7,1.8,14.1,17.9,5.7,39750
E01001058,Croydon 034A,12.7,18.8,95.6,4.2,7.5,20.1,6.0,37178
E01001059,Croydon 034B,11.3,17.4,97.4,3.2,21.1,19.1,4.4,32838
E01001060,Croydon 034C,13.4,19.7,96.7,7.3,14.3,17.8,5.2,32565
E01001061,Croydon 034D,14.3,24,96.1,14.2,20.2,19.3,6.7,27999
E01001065,Croydon 034E,6.1,15.6,97.3,2.2,21.6,18.0,5.6,35227
E01001066,Croydon 034F,31,39.9,94.9,54.8,7.5,17.9,10.8,24178
E01001119,Croydon 034G,9,10.1,99.1,4.2,4,18.9,2.6,41532
E01001126,Croydon 034H,11,15,98.2,3,7,18.7,3.4,39610
E01001032,Croydon 035A,5.4,18.5,98.1,0.4,6.9,16.6,2.7,53136
E01001101,Croydon 035B,4.1,16.7,98.6,1,3.3,17.3,4.0,52119
E01001102,Croydon 035C,5,20.2,97.9,7.1,8.6,14.9,2.2,49037
E01001107,Croydon 035D,4.8,26.7,97.1,2.3,16,15.2,5.1,52772
E01001108,Croydon 035E,6.5,19.6,98.2,1.8,3.5,17.0,4.1,56959
E01001076,Croydon 036A,23.1,26.8,96,32.7,15.3,16.3,11.1,23117
E01001079,Croydon 036B,27.7,22.1,96.6,44.6,8.9,15.8,10.4,22062
E01001080,Croydon 036C,25.2,29,93.7,75.1,5.1,14.8,13.9,20098
E01001081,Croydon 036D,22.3,23.1,95.1,37.5,5.9,15.1,11.4,22220
E01001073,Croydon 037A,8.9,25.8,94.8,7.8,22.2,13.9,6.3,41999
